,date_time,open,close,delta_next_day,nextclose,prediction_0,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,prediction_6,prediction_7,prediction_8,prediction_9,prediction_10,prediction_11,prediction_12,prediction_13,prediction_14,prediction_15,prediction_16,prediction_17,prediction_18,prediction_19,prediction_20,prediction_21,prediction_22,prediction_23,prediction_24,prediction_25,prediction_26,prediction_27,prediction_28,prediction_29,prediction_30,prediction_31,prediction_32,prediction_33,prediction_34,prediction_35,prediction_36,prediction_37,prediction_38,prediction_39,prediction_40,prediction_41,prediction_42,prediction_43,prediction_44,prediction_45,prediction_46,prediction_47,prediction_48,prediction_49
101,2012-11-19,26.799999237060547,26.729999542236328,-0.5490131378173828,27.259012,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1
102,2012-11-20,26.760000228881836,26.709999084472656,-0.13714027404785156,27.087141,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,0,1,2,1,1,1,1,2,0,1,1,1,1,2,1,2,1,1,2,2,2,1
103,2012-11-21,26.709999084472656,26.950000762939453,0.7033805847167969,26.99662,1,2,2,2,2,2,2,2,2,0,2,1,0,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2
104,2012-11-23,27.229999542236328,27.700000762939453,0.46938514709472656,26.920614,1,2,0,2,2,2,2,2,0,1,2,1,1,2,2,2,2,2,2,2,0,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2
105,2012-11-26,27.540000915527344,27.389999389648438,-0.009380340576171875,27.08938,1,1,1,0,1,2,1,1,1,1,1,1,1,2,1,2,2,2,0,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,1,2,2,1,1,1,1,1,1,2,0,1,2,2,2,0
106,2012-11-27,27.360000610351562,27.079999923706055,0.24931716918945312,27.110683,1,2,2,2,2,2,2,2,0,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,2,1,2,1,2,2,2,2,2,0,0,1,2,2,2,2,2,1,2,2,2,2
107,2012-11-28,27.010000228881836,27.360000610351562,-0.2826061248779297,27.232607,1,1,1,0,1,0,1,1,1,1,1,1,1,2,1,0,0,0,1,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
108,2012-11-29,27.110000610351562,26.950000762939453,-0.6696014404296875,27.289602,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
109,2012-11-30,27.049999237060547,26.6200008392334,-0.7972831726074219,27.227283,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
110,2012-12-03,26.780000686645508,26.43000030517578,-0.6918258666992188,27.061827,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
