,Unnamed: 0,date_time,open,close,delta_next_day,nextclose,prediction_0,prediction_2,prediction_4,prediction_6,prediction_8,prediction_10,prediction_12,prediction_14,prediction_16,prediction_18,prediction_20,prediction_22,prediction_24,prediction_26,prediction_28,prediction_30,prediction_32,prediction_34,prediction_36,prediction_38,prediction_40,prediction_42,prediction_44,prediction_46,prediction_48,Unnamed: 0,prediction_1,prediction_3,prediction_5,prediction_7,prediction_9,prediction_11,prediction_13,prediction_15,prediction_17,prediction_19,prediction_21,prediction_23,prediction_25,prediction_27,prediction_29,prediction_31,prediction_33,prediction_35,prediction_37,prediction_39,prediction_41,prediction_43,prediction_45,prediction_47,prediction_49
1028,1028,2016-07-27,56.61000061035156,56.18999862670898,-0.176971435546875,56.38697,2,2,2,2,0,2,2,2,1,1,0,1,1,1,1,1,1,2,2,1,2,2,2,2,1,1028,2,2,2,2,2,1,2,1,2,1,1,1,1,1,1,0,1,1,1,1,2,2,1,0,2
1029,1029,2016-07-28,56.0,56.209999084472656,0.3205032348632812,56.359497,2,2,2,2,2,2,2,2,1,0,2,1,2,1,0,1,2,2,2,1,2,2,2,2,2,1029,2,2,2,2,2,1,2,2,2,0,2,1,1,2,0,2,2,1,1,1,2,2,1,2,2
1030,1030,2016-07-29,56.2599983215332,56.68000030517578,0.3845252990722656,56.195477,2,2,2,2,2,2,0,2,1,0,2,1,2,1,0,1,2,2,2,1,2,2,2,2,2,1030,2,2,2,2,2,1,1,1,2,1,2,1,1,2,1,2,2,1,1,1,2,2,1,2,2
1031,1031,2016-08-01,56.59999847412109,56.58000183105469,0.3275489807128906,56.252453,2,2,2,2,1,0,1,2,1,1,2,1,2,1,1,1,2,2,2,1,2,2,2,2,2,1031,2,2,2,2,2,1,1,1,2,1,0,1,1,2,1,2,2,1,1,1,2,2,1,2,2
1032,1032,2016-08-02,56.84999847412109,56.58000183105469,0.6693496704101562,56.30065,2,2,2,2,2,2,0,2,1,2,2,1,2,0,2,1,2,2,2,0,2,2,2,2,2,1032,2,2,2,2,2,1,1,0,2,0,2,1,1,2,2,2,2,1,1,1,2,2,2,2,2
1033,1033,2016-08-03,56.68000030517578,56.970001220703125,1.0789566040039062,56.311043,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,0,2,2,2,2,2,2,2,2,2,1033,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2
1034,1034,2016-08-04,56.79999923706055,57.38999938964844,1.4916267395019531,56.468372,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1034,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2
1035,1035,2016-08-05,57.650001525878906,57.959999084472656,1.3958854675292969,56.664116,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1035,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2
1036,1036,2016-08-08,58.060001373291016,58.060001373291016,1.1709747314453125,57.029026,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1036,2,2,2,2,2,1,2,2,2,2,2,2,0,2,2,2,2,1,1,0,2,2,2,2,2
1037,1037,2016-08-09,58.16999816894531,58.20000076293945,0.6527328491210938,57.367268,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1037,2,2,2,2,2,1,0,2,2,2,2,0,1,2,2,2,2,1,1,1,2,2,2,2,2
